treatment,time,n_at_risk,n_deaths,n_censored,qx,px,lx,hx,km_lx,se_km,km_ci_lo,km_ci_hi
Female/40x,958.0541666666667,1809,11,1798,0.006080707573244887,0.9939192924267551,0.9463157894736843,0.00013955411715983607,0.9463157894736843,0.005170880820135304,0.9361808630662192,0.9564507158811495
Male/20x,241.93666666666667,900,9,0,0.01,0.99,0.99,0.0001288810445679782,0.99,0.0033166247903554,0.9834994154109034,0.9965005845890966
Male/20x,319.91749999999996,891,1,0,0.001122334455667789,0.9988776655443322,0.9888888888888889,8.19614074217541e-06,0.9888888888888889,0.0034940670859468902,0.9820405174004331,0.9957372603773448
Male/20x,456.9288888888889,890,2,0,0.0022471910112359553,0.9977528089887641,0.9866666666666667,4.755606225659221e-05,0.9866666666666667,0.0038232556742411675,0.979173085545154,0.9941602477881794
Male/20x,504.23555555555555,888,1,0,0.0011261261261261261,0.9988738738738738,0.9855555555555555,1.5438130939794076e-05,0.9855555555555555,0.003977129404361867,0.9777603819230063,0.9933507291881047
Male/20x,577.2211111111111,887,1,1,0.0011273957158962795,0.9988726042841037,0.9844444444444445,1.2747680053690686e-05,0.9844444444444445,0.0041249350495780315,0.9763595717472715,0.9925293171416174
Male/20x,665.7102777777777,885,1,0,0.0011299435028248588,0.9988700564971752,0.9833320778405524,1.4114096422633476e-05,0.9833320778405524,0.004267624634841067,0.974967533556264,0.9916966221248409
Male/20x,745.8133333333333,884,6,0,0.006787330316742082,0.9932126696832579,0.9766578782172003,0.00014817479115449158,0.9766578782172003,0.005033884729365905,0.9667914641476432,0.9865242922867574
Male/20x,791.7755555555556,878,7,0,0.007972665148063782,0.9920273348519362,0.968871311989956,0.00016486807536296392,0.968871311989956,0.005790510549917052,0.9575219113121186,0.9802207126677934
Male/20x,840.3269444444444,871,11,0,0.012629161882893225,0.9873708381171068,0.9566352793471438,0.00017169795548643352,0.9566352793471438,0.006791723459203938,0.9433235013671041,0.9699470573271834
Male/20x,914.3488888888888,860,23,0,0.026744186046511628,0.9732558139534884,0.9310508474576271,0.0006202147701128816,0.9310508474576271,0.008449340962049365,0.9144901391720104,0.9476115557432438
Male/20x,958.0541666666667,837,8,829,0.009557945041816009,0.9904420549581839,0.9221519146264908,0.0002197410021152586,0.9221519146264908,0.00893517979346397,0.9046389622313015,0.9396648670216802
Male/40x,241.93666666666667,1900,19,0,0.01,0.99,0.99,0.0001288810445679782,0.99,0.0022826577307580465,0.9855259908477142,0.9944740091522858
Male/40x,319.91749999999996,1881,39,0,0.02073365231259968,0.9792663476874003,0.9694736842105263,0.0002900049829114717,0.9694736842105263,0.003946648133729564,0.9617382538684163,0.9772091145526363
Male/40x,392.16055555555556,1842,89,1,0.048317046688382194,0.9516829533116178,0.9226315789473684,0.0007644663718723048,0.9226315789473684,0.006129417782793776,0.9106179200930925,0.9346452378016442
Male/40x,456.9288888888889,1752,61,1,0.034817351598173514,0.9651826484018264,0.8905079908675798,0.0007490321522255996,0.8905079908675798,0.007164282975856211,0.8764659962349016,0.904549985500258
Male/40x,504.23555555555555,1690,35,0,0.020710059171597635,0.9792899408284024,0.8720655176839317,0.00028672462918825323,0.8720655176839317,0.0076641758387257005,0.8570437330400293,0.8870873023278341
Male/40x,577.2211111111111,1655,39,0,0.023564954682779457,0.9764350453172206,0.8515153332792953,0.00047921862297634586,0.8515153332792953,0.008159479732028883,0.8355227530045187,0.8675079135540719
Male/40x,626.9811111111111,1616,37,0,0.022896039603960396,0.9771039603960396,0.8320190044851531,0.0005980296337826138,0.8320190044851531,0.008579117085579352,0.8152039349974176,0.8488340739728886
Male/40x,665.7102777777777,1579,18,0,0.011399620012666244,0.9886003799873337,0.8225343039907055,0.0001431277255699029,0.8225343039907055,0.008767755808712203,0.8053495026056295,0.8397191053757814
Male/40x,745.8133333333333,1561,57,0,0.03651505445227418,0.9634849455477258,0.7924994190916214,0.0008092325706802723,0.7924994190916214,0.009306464360915217,0.7742587489442275,0.8107400892390152
Male/40x,791.7755555555556,1504,40,0,0.026595744680851064,0.973404255319149,0.7714223068817379,0.0005551680088752867,0.7714223068817379,0.009637185926145021,0.7525334224664936,0.7903111912969821
Male/40x,840.3269444444444,1464,25,1,0.01707650273224044,0.9829234972677595,0.7582491117505606,0.00023268183458101065,0.7582491117505606,0.009826151460759476,0.738989854887472,0.7775083686136492
Male/40x,914.3488888888888,1438,79,0,0.05493741307371349,0.9450625869262865,0.7165928670855438,0.0012925005475687187,0.7165928670855438,0.010343804039340706,0.6963190111684361,0.7368667230026515
Male/40x,958.0541666666667,1359,47,1312,0.034584253127299486,0.9654157468727005,0.6918100379810401,0.0008052302483914724,0.6918100379810401,0.010598939636041457,0.6710361162943989,0.7125839596676814
