age,treatment,event,event_type
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
958.0541666666667,Female/40x,1,0
241.93666666666667,Male/20x,1,1
319.91749999999996,Male/20x,1,1
504.23555555555555,Male/20x,1,1
745.8133333333333,Male/20x,1,1
958.0541666666667,Male/20x,1,1
958.0541666666667,Male/20x,1,1
958.0541666666667,Male/20x,1,1
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
958.0541666666667,Male/20x,1,0
